yy;mm;dd;5813_2;5817_1;5820;5832;5833;5849_2;5863;5868_1;5870;5880_1;5882_1;5884;5887;5888;5889;5893;5919;5924;5926;5933;5934;5937_2;5941_1;6933;7136;7144;7203_1;14233_1;14437_1
1961;5;17;NA;NA;0;4;NA;0.4;2.6;0;0;0.4;2.6;0;0.2;2.6;0.4;NA;0;16.2;0;10.8;0;1;0.2;0;0.2;0;0;0.8;0.2
1961;5;18;NA;NA;2.4;0;NA;21;0;0;4.8;0;0;2.4;0;0;3.8;NA;0;0;6.2;0;0.6;0;0;0;11;0;0;0;0
1961;5;19;NA;NA;4;0;NA;5.8;0.6;0.2;4.6;0;0;1.4;0;5.2;2.4;NA;0;0;3;0;3.2;0.6;0;0.2;4.4;0;0;1.2;0.2
1961;5;20;NA;NA;0;0;NA;0;0;0;0;0;0.4;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;1.2;0;2.4
1961;5;21;NA;NA;1;15;NA;14;1.2;8.2;1.4;13.4;3.2;3.2;1;2.2;4.6;NA;25;7;3.4;9.2;0.6;14;10.4;5;1;10;6;6.2;2.8
1961;5;22;NA;NA;3.2;27;NA;0.4;14;23.4;2;20;25.8;3.1;14;23.6;7.4;NA;27.2;21.8;0.4;13.4;1.6;34.4;16.4;12.8;8.4;22;20;21.2;12
1961;5;23;NA;NA;0;19;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;24;NA;NA;10.6;32;NA;1;4;3.4;0;1.8;6.4;6;2;1.8;16.2;NA;9.3;3;0.1;27.4;13.8;4.2;1.2;1.4;9.4;0;2.4;12;0
1961;5;25;NA;NA;0;0;NA;0;0;0;0;0;0.2;0;0;0.2;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;5;26;NA;NA;1.4;2.5;NA;7.6;0;0;5;1.2;0;0.9;0;0.2;1.2;NA;2;1.4;6.8;1.2;0;0.8;1;0;2;0;0;0;0.2
1961;5;27;NA;NA;0.8;0;NA;1.8;7.6;0.8;0.6;0;2.8;0.1;5.2;0.6;0.2;NA;0;0;0;0;0;4.2;0;0.2;0.2;0;0;4.2;0.2
1961;5;28;NA;NA;8.8;0;NA;12;17;4.8;5.2;0.2;7;6.6;20.6;48.2;8.4;NA;1;1.4;11.8;0.2;6.2;1.4;1.6;0.4;12.2;2.4;20;12.4;0.6
