yy;mm;dd;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;aeronautica_6923;calabria_146;calabria_7;calabria_34;calabria_127;calabria_140;calabria_191;calabria_196;calabria_212;calabria_213;calabria_246;calabria_294;calabria_386;sicilia_11806;sicilia_11807;sicilia_11839;sicilia_11842;sicilia_11843;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;sicilia_13881;aeronautica_6812
1971;3;5;0.7;2;4.2;1;2;1.6;0.4;0.4;0.6;0.6;11.2;22;28.9;7.2;15.8;0;0.2;0;0.6;0;3.5;22.1;4;5.2;0;3;8;9.8;8.2;0.4;0.8;1.6;2.6;NA
1971;3;6;7.4;1.5;0.4;5.2;0.4;0;0.4;0;0.2;1;1.1;24;21.1;10.8;8.8;0;0;0.2;0;1.3;4;30;6.6;7.6;0;20;6.2;1.6;8.6;0.2;0;3;0.8;NA
1971;3;7;8;0.1;1.6;3.6;0.8;7.8;1;1.8;0.2;0;10.4;16;45.2;12;19;0.6;3.2;0.2;0;2.4;12;27;1.8;1;8.5;0;1;0;6.3;0.2;0;0.8;1.2;NA
1971;3;8;0;1.4;7;12.6;0.8;0.2;0;0.3;0.7;2.6;3.2;6.5;12.8;5.8;7.6;5;4.8;19;39.3;8.1;0;3.4;6.2;4.8;0;0;1.4;1.8;1.7;14.4;7;5.4;0.8;NA
1971;3;9;1;0.1;0;0;1.2;4.4;0;0;0.4;0.1;0.6;7;4.5;9.7;3.8;0.6;1.1;0.8;4.7;1.7;3;3.7;4.2;3;5;0;7.8;8.6;0;0;0.4;0.8;0.2;NA
1971;3;10;0;0;0.1;1.2;2.2;3.4;2.4;0.4;1.2;0.4;0.7;23;6.2;8.9;7.6;2;0.7;0;0;2.6;0;1;5;6.2;0;6.1;0;0.6;0;0;0;7.2;8.4;NA
1971;3;11;0;0;0.6;0;0;11.8;0;0;0;0;4.5;14;12.2;0.2;8.8;2.9;5.1;0.6;0;4.1;6.7;8;2;0.8;0;0;0;4.6;0;1.4;0;0.8;0.6;NA
1971;3;12;0;0.6;3.8;0.6;0;0;0;0;0;0;0;0;0;0;0.4;1.2;3;0.2;0;0;4.3;0;0;0;0;2.2;0;0;0;0;0;0;0.2;NA
1971;3;13;0;0;0;0;0;0;0;0;0;0;4.1;9;2.8;3;0.2;0;0;0.8;0;0;0;0;0;0;12.5;0;0;0;0;0;0;0;0;NA
1971;3;14;10;3.4;1.2;1;1.4;0;0;0.6;12.6;20.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;3;15;17.6;25.2;8.8;2.2;0;0.6;0;0;1.8;0.8;4.4;4.3;12.2;10.6;7.9;6.1;6.8;9.5;21;0;0;10;0.4;0;0;2;0;0.2;0.8;0.4;3.2;0;5.2;NA
1971;3;16;6.2;0.2;35.6;19;0;32;1;12;1.8;3;0.9;7.1;8.2;12.3;5;1;2;5.5;10;19.3;25.4;0.4;2.8;0.6;35;7;9;11.8;9.1;4.8;3.8;10;2.4;NA
1971;3;17;0;12.2;4.6;2.6;0;12.2;0;0;0.2;0.1;12.2;25.2;45.6;5.7;17.6;12.5;19.2;9;3.4;11.2;14;5.5;0;0;0;0;2.8;20.6;11.2;0.8;11.8;1;1.6;NA
1971;3;18;0;14.5;0.1;0;0;0.4;0;0;0;0;3.4;5.7;10;0;4.9;2.5;11;2.6;1.2;2.1;3;0.7;0;0;0;0;0.2;0.4;0;1.8;0.6;0;0;NA
1971;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;3.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;3;21;0;0.2;0;0;0;0;0;0;0.2;1.4;0;0;0;8.5;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;3;22;21.2;24.4;0.2;1.4;5.6;0;1.2;5.2;2.5;0.8;0.6;0.2;6;2.6;1.7;0;0;0.2;7;0;0;0;7.4;6.4;27.5;15;1;0;0;0;0.2;2.4;3.8;NA
1971;3;23;6;0;0.6;0;5.6;13.2;3.6;1.4;2.6;1;8;29.1;26.9;0;10;0;0;8.4;2.5;4.7;3.4;4;9.8;5.6;0;12;8.8;5.2;3.6;6;2.6;10.4;1.2;NA
