yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;2;23;2.6;2.8;2;3.4;0;0;NA;6.7;NA;0.2;NA;NA;9;1.7;14.7;NA;NA;1
1961;2;24;0;0;0;0;0.2;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;2;25;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0.2
1961;2;26;0;0;0;0;0.2;0;NA;0;NA;0.4;NA;NA;0;0;0;NA;NA;0
1961;2;27;0;0;0;0;0.2;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;2;28;0;0;0;0;0;0;NA;0;NA;0.4;NA;NA;0;0;0;NA;NA;0
1961;3;1;0;0;0.4;0;0;0;NA;1.2;NA;0.6;NA;NA;0;0;0;NA;NA;0
1961;3;2;0.2;2.6;2.4;0.8;4.2;0;NA;1.3;NA;3;NA;NA;0;0;0.4;NA;NA;0.6
1961;3;3;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;3;4;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;5;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;7;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;8;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;9;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;10;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;11;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;12;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;13;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;14;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;15;0;0;0;0;0;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;3;16;0;0;0;0;0.2;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;3;17;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;3;18;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
