yy;mm;dd;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;2;12;0;0.2;0;0.2;0.2;0;NA;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;13;0;0.2;0;0;0;0;NA;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;14;0;0;0;0;0.2;0;NA;0;0;0;0;0;1.2;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;15;0;3.2;0.5;0;0.8;0;NA;5.3;7.1;3.1;0;0;0;0;0;2;8.3;0;0.2;5;4.6;2;3.6;1.8;0;8.2;0;0;0;0.8;NA;0;NA;0;0;0;0;0;NA;0
1971;2;16;8;12.2;21.6;0.1;0.6;0;NA;0;4.1;2.4;5;0.4;8;0;0;12.3;0;4.6;2.6;4.6;6.6;1.2;6.6;4.5;39.3;26.4;26;14.6;7.1;10.2;NA;2.5;NA;0;0.4;4.6;1;2.7;NA;17.2
1971;2;17;0;10.4;19.8;0.4;0.1;3.9;NA;0;0;0.8;16.4;10.8;0;2;3.2;35.2;4;105.2;49.2;31;16.2;36.8;34.8;NA;0.3;32.2;35;14.2;7;0;NA;50.2;NA;12;12.6;7;0;12.3;NA;0
1971;2;18;0;0;0.1;1.6;3.8;0;NA;0;0;0;1;2.8;4.4;1;0;0;0;6.2;0.4;2.8;0;0.4;0;30.1;0;0;6.4;0;1;0;NA;0;NA;0;0;0;6;0;NA;0
1971;2;19;0;0;3;17;28.2;0;NA;0;0;0;22.2;23;0;24.8;10;22.6;14.7;9.7;3.6;0;0;0.2;1.2;2.2;0;0;0;0;0;0;NA;0;NA;0;0;0;0.4;0;NA;0
1971;2;20;0;0;0;0;0;0;NA;0;0;0;3.2;0;0;0.4;0.2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;2;21;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
